reservation_datetime,heure,heure_int,minute,jour_semaine,season,ville,gouvernorat,zone_type,latitude,longitude,population,intensite_ville,has_beach,beach_name,periode,cause_circulation,weather_code,weathercode_raw,weather_label,weather_mult,temperature_2m,precipitation,rain,windspeed_10m,visibility,sunrise,sunset,trafic_niveau,trafic_label,demande,indice_congestion,retard_estime_min,vitesse_moy_kmh,chauffeurs_actifs,is_night,is_ramadan_slot,is_friday_slot,is_school_slot,is_prayer_slot,is_beach_hour,beach_peak_reason,beach_surge_applied,beach_surge_value,surge_multiplier
2026-04-01 09:45:05,11:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,préparation_prière_vendredi,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,49,5,40,100,0,0,0,0,0,0,none,0,1.0,1.604
2026-04-01 09:45:05,12:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,prière_dhuhr_mosquée,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,64,5,23,100,0,0,0,0,0,0,none,0,1.0,1.565
2026-04-01 09:45:05,12:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sortie_lycées_collèges,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,74,10,24,98,0,0,0,0,0,0,none,0,1.0,2.101
2026-04-01 09:45:05,12:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sortie_mosquée_jumu3a,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,76,7,21,97,0,0,0,0,0,0,none,0,1.0,2.332
2026-04-01 09:45:05,12:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sortie_mosquée_jumu3a,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,77,10,23,99,0,0,0,0,0,0,none,0,1.0,2.256
2026-04-01 09:45:05,13:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_déjeuner_retour_maison,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,90,20,13,99,0,0,0,0,0,0,none,0,1.0,2.42
2026-04-01 09:45:05,13:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_déjeuner_retour_maison,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,84,21,10,97,0,0,0,0,0,0,none,0,1.0,2.024
2026-04-01 09:45:05,13:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_déjeuner_retour_maison,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,87,18,13,98,0,0,0,0,0,0,none,0,1.0,2.373
2026-04-01 09:45:05,13:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_déjeuner_retour_maison,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,43,2,37,97,0,0,0,0,0,0,none,0,1.0,1.307
2026-04-01 09:45:05,14:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,reprise_après_déjeuner,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,67,5,26,99,0,0,0,0,0,0,none,0,1.0,1.763
2026-04-01 09:45:05,14:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,reprise_après_déjeuner,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,65,9,24,99,0,0,0,0,0,0,none,0,1.0,1.866
2026-04-01 09:45:05,14:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,reprise_après_déjeuner,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,70,7,24,99,0,0,0,0,0,0,none,0,1.0,2.047
2026-04-01 09:45:05,14:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,reprise_après_déjeuner,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,70,8,26,97,0,0,0,0,0,0,none,0,1.0,1.88
2026-04-01 09:45:05,15:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,53,0,35,99,0,0,0,0,0,0,none,0,1.0,1.565
2026-04-01 09:45:05,15:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,51,0,39,100,0,0,0,0,0,0,none,0,1.0,1.47
2026-04-01 09:45:05,16:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,65,7,22,98,0,0,0,0,0,0,none,0,1.0,1.74
2026-04-01 09:45:05,16:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,72,10,22,100,0,0,0,0,0,0,none,0,1.0,2.033
2026-04-01 09:45:05,16:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sortie_écoles_privées,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,73,9,25,97,0,0,0,0,0,0,none,0,1.0,1.938
2026-04-01 09:45:05,16:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sortie_écoles_privées,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,68,8,27,99,0,0,0,0,0,0,none,0,1.0,1.84
2026-04-01 09:45:05,17:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,92,22,15,99,0,0,0,0,0,0,none,0,1.0,2.302
2026-04-01 09:45:05,17:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,93,23,10,98,0,0,0,0,0,0,none,0,1.0,2.398
2026-04-01 09:45:05,17:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,87,20,13,101,0,0,0,0,0,0,none,0,1.0,2.287
2026-04-01 09:45:05,17:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,rush_iftar_ramadan,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,surge,71,1,39,97,0,0,0,0,0,0,none,0,1.0,2.517
2026-04-01 09:45:05,18:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,92,21,13,98,0,0,0,0,0,0,none,0,1.0,2.318
2026-04-01 09:45:05,18:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,88,23,12,100,0,0,0,0,0,0,none,0,1.0,2.259
2026-04-01 09:45:05,18:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,88,21,13,97,0,0,0,0,0,0,none,0,1.0,2.284
2026-04-01 09:45:05,18:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,surge,68,2,35,97,0,0,0,0,0,0,none,0,1.0,2.406
2026-04-01 09:45:05,19:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_embouteillage_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,69,8,24,100,0,0,0,0,0,0,none,0,1.0,1.902
2026-04-01 09:45:05,19:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_embouteillage_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,68,7,23,100,0,0,0,0,0,0,none,0,1.0,1.717
2026-04-01 09:45:05,19:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_embouteillage_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,69,5,24,99,0,0,0,0,0,0,none,0,1.0,1.938
2026-04-01 09:45:05,19:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_embouteillage_soir,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,71,8,26,98,0,0,0,0,0,0,none,0,1.0,1.96
2026-04-01 09:45:05,20:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,71,5,22,42,0,0,0,0,0,0,none,0,1.0,1.994
2026-04-01 09:45:05,20:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,63,8,22,44,0,0,0,0,0,0,none,0,1.0,1.77
2026-04-01 09:45:05,20:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,62,10,22,44,0,0,0,0,0,0,none,0,1.0,1.675
2026-04-01 09:45:05,20:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,66,7,27,43,0,0,0,0,0,0,none,0,1.0,1.669
2026-04-01 09:45:05,21:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,rush,56,1,41,45,0,0,0,0,0,0,none,0,1.0,1.715
2026-04-01 09:45:05,21:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,rush,51,3,35,45,0,0,0,0,0,0,none,0,1.0,1.762
2026-04-01 09:45:05,21:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,rush,57,5,38,42,0,0,0,0,0,0,none,0,1.0,1.809
2026-04-01 09:45:05,21:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sorties_restaurants_cafés,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,rush,56,5,37,44,0,0,0,0,0,0,none,0,1.0,1.736
2026-04-01 09:45:05,22:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sortie_prière_tarawih,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,47,1,37,46,0,0,0,0,0,0,none,0,1.0,1.351
2026-04-01 09:45:05,22:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,sortie_prière_tarawih,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,49,3,36,44,0,0,0,0,0,0,none,0,1.0,1.332
2026-04-01 09:45:05,23:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,51,0,38,43,0,0,0,0,0,0,none,0,1.0,1.434
2026-04-01 09:45:05,23:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,50,5,40,42,0,0,0,0,0,0,none,0,1.0,1.355
2026-04-01 09:45:05,23:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,retour_soirées_tardives,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,47,0,38,46,0,0,0,0,0,0,none,0,1.0,1.322
2026-04-01 09:45:05,23:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,retour_soirées_tardives,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,43,5,39,46,0,0,0,0,0,0,none,0,1.0,1.316
2026-04-01 09:45:05,00:00,9,45,2,printemps,Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,11.2,0.3,0.3,14.9,28620.0,06:04,18:40,1,faible,normal,47,0,38,64,0,0,0,0,0,0,none,0,1.0,1.402
2026-04-01 09:45:05,00:30,9,45,2,printemps,Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,11.2,0.3,0.3,14.9,28620.0,06:04,18:40,1,faible,normal,46,2,41,63,0,0,0,0,0,0,none,0,1.0,1.264
2026-04-01 09:45:05,01:00,9,45,2,printemps,Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,11.2,0.3,0.3,14.9,28620.0,06:04,18:40,1,faible,normal,46,5,39,65,0,0,0,0,0,0,none,0,1.0,1.361
2026-04-01 09:45:05,01:30,9,45,2,printemps,Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,11.2,0.3,0.3,14.9,28620.0,06:04,18:40,1,faible,normal,47,2,36,64,0,0,0,0,0,0,none,0,1.0,1.464
2026-04-01 09:45:05,02:00,9,45,2,printemps,Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,11.2,0.3,0.3,14.9,28620.0,06:04,18:40,1,faible,normal,45,3,37,62,0,0,0,0,0,0,none,0,1.0,1.333
2026-04-01 09:45:05,02:30,9,45,2,printemps,Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,matin_normal,suhoor_restaurants,2,61,pluie,1.1,11.2,0.3,0.3,14.9,28620.0,06:04,18:40,1,faible,normal,50,2,40,65,0,0,0,0,0,0,none,0,1.0,1.394
2026-04-01 09:45:05,03:00,9,45,2,printemps,Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,11.2,0.3,0.3,14.9,28620.0,06:04,18:40,1,faible,normal,48,5,35,62,0,0,0,0,0,0,none,0,1.0,1.41
