ville,gouvernorat,zone_type,latitude,longitude,population,intensite_ville,has_beach,beach_name,heure,heure_int,minute,periode,cause_circulation,trafic_niveau,trafic_label,demande,is_night,is_ramadan_slot,is_friday_slot,is_school_slot,is_prayer_slot,is_beach_hour,beach_peak_reason,beach_surge_applied,beach_surge_value,surge_multiplier,indice_congestion,retard_estime_min,vitesse_moy_kmh,chauffeurs_actifs
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,07:45,7,45,circulation_normale,flux_habituel,1,faible,surge,0,0,0,0,0,0,,0,1.0,2.139,59,2,37,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,08:00,8,0,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.187,86,22,13,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,08:15,8,15,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.371,92,23,12,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,08:30,8,30,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.428,93,22,16,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,08:45,8,45,circulation_normale,flux_habituel,1,faible,surge,0,0,0,0,0,0,,0,1.0,2.354,66,3,37,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,09:00,9,0,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.826,65,9,22,101
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,09:15,9,15,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.854,65,8,23,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,09:30,9,30,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.881,67,6,21,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,09:45,9,45,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,2.109,76,9,27,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,10:00,10,0,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.641,52,5,38,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,10:30,10,30,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.607,54,3,36,101
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,11:00,11,0,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.443,48,4,40,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,11:15,11,15,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.619,54,5,35,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,11:30,11,30,vendredi_jumu3a,préparation_prière_vendredi,1,faible,normal,0,0,1,0,0,1,afflux_plage_matin,0,1.0,1.684,50,5,37,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,11:45,11,45,vendredi_jumu3a,préparation_prière_vendredi,1,faible,normal,0,0,1,0,0,1,afflux_plage_matin,0,1.0,1.604,49,5,40,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,12:00,12,0,prière_dhuhr,prière_dhuhr_mosquée,2,modéré,rush,0,0,0,0,1,0,,0,1.0,1.565,64,5,23,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,12:15,12,15,sortie_école_midi,sortie_lycées_collèges,2,modéré,rush,0,0,0,1,0,0,,0,1.0,2.101,74,10,24,98
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,12:30,12,30,vendredi_jumu3a,sortie_mosquée_jumu3a,2,modéré,rush,0,0,1,0,0,0,,0,1.0,2.332,76,7,21,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,12:45,12,45,vendredi_jumu3a,sortie_mosquée_jumu3a,2,modéré,rush,0,0,1,0,0,0,,0,1.0,2.256,77,10,23,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,13:00,13,0,déjeuner_tunisien,pic_déjeuner_retour_maison,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.42,90,20,13,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,13:15,13,15,déjeuner_tunisien,pic_déjeuner_retour_maison,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.024,84,21,10,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,13:30,13,30,déjeuner_tunisien,pic_déjeuner_retour_maison,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.373,87,18,13,98
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,13:45,13,45,déjeuner_tunisien,pic_déjeuner_retour_maison,1,faible,normal,0,0,0,0,0,0,,0,1.0,1.307,43,2,37,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,14:00,14,0,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.763,67,5,26,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,14:15,14,15,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.866,65,9,24,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,14:30,14,30,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,2.047,70,7,24,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,14:45,14,45,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.88,70,8,26,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,15:00,15,0,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.565,53,0,35,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,15:30,15,30,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.47,51,0,39,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,16:00,16,0,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.74,65,7,22,98
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,16:15,16,15,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,2.033,72,10,22,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,16:30,16,30,pré_rush_soir,sortie_écoles_privées,2,modéré,rush,0,0,0,1,0,1,afflux_plage_après_midi,0,1.0,1.938,73,9,25,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,16:45,16,45,pré_rush_soir,sortie_écoles_privées,2,modéré,rush,0,0,0,1,0,1,afflux_plage_après_midi,0,1.0,1.84,68,8,27,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,17:00,17,0,rush_soir_peak,pic_absolu_soir,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.302,92,22,15,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,17:15,17,15,rush_soir_peak,pic_absolu_soir,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.398,93,23,10,98
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,17:30,17,30,rush_soir_peak,pic_absolu_soir,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.287,87,20,13,101
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,17:45,17,45,ramadan_iftar,rush_iftar_ramadan,1,faible,surge,0,1,0,0,0,0,,0,1.0,2.517,71,1,39,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,18:00,18,0,rush_soir_peak,pic_absolu_soir,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.318,92,21,13,98
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,18:15,18,15,rush_soir_peak,pic_absolu_soir,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.259,88,23,12,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,18:30,18,30,rush_soir_peak,pic_absolu_soir,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.284,88,21,13,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,18:45,18,45,circulation_normale,flux_habituel,1,faible,surge,0,0,0,0,0,0,,0,1.0,2.406,68,2,35,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,19:00,19,0,fin_rush_soir,fin_embouteillage_soir,2,modéré,rush,0,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.902,69,8,24,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,19:15,19,15,fin_rush_soir,fin_embouteillage_soir,2,modéré,rush,0,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.717,68,7,23,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,19:30,19,30,fin_rush_soir,fin_embouteillage_soir,2,modéré,rush,0,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.938,69,5,24,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,19:45,19,45,fin_rush_soir,fin_embouteillage_soir,2,modéré,rush,0,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.96,71,8,26,98
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,20:00,20,0,soirée,sorties_restaurants_cafés,2,modéré,rush,1,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.994,71,5,22,42
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,20:15,20,15,soirée,sorties_restaurants_cafés,2,modéré,rush,1,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.77,63,8,22,44
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,20:30,20,30,soirée,sorties_restaurants_cafés,2,modéré,rush,1,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.675,62,10,22,44
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,20:45,20,45,soirée,sorties_restaurants_cafés,2,modéré,rush,1,0,0,0,0,1,retour_plage_coucher_soleil,0,1.0,1.669,66,7,27,43
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,21:00,21,0,soirée,sorties_restaurants_cafés,1,faible,rush,1,0,0,0,0,0,,0,1.0,1.715,56,1,41,45
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,21:15,21,15,soirée,sorties_restaurants_cafés,1,faible,rush,1,0,0,0,0,0,,0,1.0,1.762,51,3,35,45
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,21:30,21,30,soirée,sorties_restaurants_cafés,1,faible,rush,1,0,0,0,0,0,,0,1.0,1.809,57,5,38,42
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,21:45,21,45,soirée,sorties_restaurants_cafés,1,faible,rush,1,0,0,0,0,0,,0,1.0,1.736,56,5,37,44
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,22:00,22,0,ramadan_tarawih,sortie_prière_tarawih,1,faible,normal,1,1,0,0,0,0,,0,1.0,1.351,47,1,37,46
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,22:30,22,30,ramadan_tarawih,sortie_prière_tarawih,1,faible,normal,1,1,0,0,0,0,,0,1.0,1.332,49,3,36,44
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,23:00,23,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.434,51,0,38,43
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,23:15,23,15,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.355,50,5,40,42
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,23:30,23,30,retour_soirée_tardive,retour_soirées_tardives,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.322,47,0,38,46
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,23:45,23,45,retour_soirée_tardive,retour_soirées_tardives,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.316,43,5,39,46
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,00:00,0,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.402,47,0,38,64
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,00:30,0,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.264,46,2,41,63
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,01:00,1,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.361,46,5,39,65
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,01:30,1,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.464,47,2,36,64
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,02:00,2,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.333,45,3,37,62
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,02:30,2,30,ramadan_suhoor,suhoor_restaurants,1,faible,normal,1,1,0,0,0,0,,0,1.0,1.394,50,2,40,65
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,03:00,3,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.41,48,5,35,62
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,03:30,3,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.298,46,1,37,64
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,04:00,4,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.293,42,5,41,66
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,04:30,4,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.248,44,4,40,64
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,05:00,5,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.289,46,3,40,65
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,05:30,5,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.409,45,5,41,64
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,06:00,6,0,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.568,65,6,26,143
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,06:15,6,15,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.594,65,5,26,145
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,06:30,6,30,rush_matin,début_journée_travail,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.847,71,9,25,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,06:45,6,45,rush_matin,début_journée_travail,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.613,65,5,23,143
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,07:00,7,0,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.377,93,23,10,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,07:15,7,15,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.427,94,21,13,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,07:30,7,30,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.291,90,18,15,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,07:45,7,45,circulation_normale,flux_habituel,1,faible,surge,0,0,0,0,0,0,,0,1.0,2.192,61,5,40,143
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,08:00,8,0,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.251,87,23,14,145
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,08:15,8,15,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.435,92,19,14,145
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,08:30,8,30,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.384,92,18,15,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,08:45,8,45,circulation_normale,flux_habituel,1,faible,surge,0,0,0,0,0,0,,0,1.0,2.374,66,4,39,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,09:00,9,0,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.798,67,6,26,145
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,09:15,9,15,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.877,69,5,24,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,09:30,9,30,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.845,71,10,23,143
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,09:45,9,45,fin_rush_matin,fin_rush_entrée_bureau,2,modéré,rush,0,0,0,0,0,1,afflux_plage_matin,0,1.0,2.069,70,6,21,145
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,10:00,10,0,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.613,53,0,38,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,10:30,10,30,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.554,53,0,36,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,11:00,11,0,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.454,46,5,38,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,11:15,11,15,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_matin,0,1.0,1.638,55,2,39,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,11:30,11,30,vendredi_jumu3a,préparation_prière_vendredi,1,faible,normal,0,0,1,0,0,1,afflux_plage_matin,0,1.0,1.638,49,3,39,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,11:45,11,45,vendredi_jumu3a,préparation_prière_vendredi,1,faible,normal,0,0,1,0,0,1,afflux_plage_matin,0,1.0,1.647,48,1,40,145
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,12:00,12,0,prière_dhuhr,prière_dhuhr_mosquée,2,modéré,rush,0,0,0,0,1,0,,0,1.0,1.529,60,5,25,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,12:15,12,15,sortie_école_midi,sortie_lycées_collèges,2,modéré,rush,0,0,0,1,0,0,,0,1.0,2.086,70,9,27,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,12:30,12,30,vendredi_jumu3a,sortie_mosquée_jumu3a,2,modéré,rush,0,0,1,0,0,0,,0,1.0,2.262,76,7,24,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,12:45,12,45,vendredi_jumu3a,sortie_mosquée_jumu3a,2,modéré,rush,0,0,1,0,0,0,,0,1.0,2.262,77,9,21,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,13:00,13,0,déjeuner_tunisien,pic_déjeuner_retour_maison,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.404,90,22,12,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,13:15,13,15,déjeuner_tunisien,pic_déjeuner_retour_maison,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.038,84,23,15,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,13:30,13,30,déjeuner_tunisien,pic_déjeuner_retour_maison,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.415,88,20,15,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,13:45,13,45,déjeuner_tunisien,pic_déjeuner_retour_maison,1,faible,normal,0,0,0,0,0,0,,0,1.0,1.297,46,2,40,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,14:00,14,0,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.779,66,5,24,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,14:15,14,15,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.828,69,6,21,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,14:30,14,30,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.983,70,8,27,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,14:45,14,45,retour_bureau,reprise_après_déjeuner,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.829,69,10,24,142
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,15:00,15,0,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.543,49,4,38,141
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,15:30,15,30,circulation_normale,flux_habituel,1,faible,normal,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.49,46,0,37,143
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,16:00,16,0,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,1.76,64,7,23,145
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,16:15,16,15,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,1,afflux_plage_après_midi,0,1.0,2.045,70,8,21,144
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,16:30,16,30,pré_rush_soir,sortie_écoles_privées,2,modéré,rush,0,0,0,1,0,1,afflux_plage_après_midi,0,1.0,1.933,71,10,21,143
Ben Arous,Ben Arous,banlieue,36.7533,10.2283,716300,4,0,,16:45,16,45,pré_rush_soir,sortie_écoles_privées,2,modéré,rush,0,0,0,1,0,1,afflux_plage_après_midi,0,1.0,1.841,70,9,24,145
